title	type	url_slug	venue	date	location	talk_url	description
Early Prediction of Movie Success-A Social Network Perspective	Talk	dma-14-talk	"Data Mining and Analytics Workshop, INFORMS Annual Meeting"	2014-11-08	"San Francisco, CA, USA"		
Early Prediction of Movie Success-A Social Network Perspective	Talk	informs-14-talk	2014 INFORMS Annual Meeting	2014-11-09	"San Francisco, CA, USA"		
"Early Prediction of Movie Success-What, Who, and When"	Poster	sbp-2015-talk	"Social Computing, Behavioral-Cultural Modeling, and Prediction Conference"	2015-04-01	"Washington D.C., USA"		
Reducing Patient Risk through Inverse Classification: An SVM-based Method	Invited Talk	informs-15-talk	2015 INFORMS Annual Meeting	2015-11-01	"Philadelphia, PA, USA"		
Leveraging Longitudinal Healthcare Data For Inverse Classification	Invited Talk	informs-2016-talk	2016 INFORMS Annual Meeting	2016-11-13	"Nashville, TN, USA"		
Generalized Inverse Classification	Invited Talk	informs-2016-talk2	2016 INFORMS Annual Meeting	2016-11-14	"Nashville, TN, USA"		
Generalized Inverse Classification	Talk; Poster	sdm-2017-talk-poster	SIAM International Conference on Data Mining 2017 (SDM17)	2017-04-28	"Houston, TX, USA"		
A Large-Scale Exploration of Factors Affecting Hand Hygiene Compliance Using Linear Predictive Models	Talk	ichi-2017-talk	2017 IEEE International Conference on Healthcare Informatics (ICHI17)	2017-08-24	"Park City, UT, USA"		
Prophit: Inverse Classification via Causal Deep Learning	Invited Talk	informs-2017-talk	2017 INFORMS Annual Meeting	2017-10-22	"Houston, TX, USA"		
Learning Rich Geographical Representations: Predicting Colorectal Cancer Survival in the State of Iowa	Talk	bibm-2017-talk	2017 IEEE International Conference on Bioinformatics and Biomedicine	2017-11-14	"Kansas City, MO, USA"		
"Data, Decisions, and Machine Learning: Optimizing Outcomes via Inverse Classification"	Invited Talk	uiowa-2017-talk	University of Iowa Department of Computer Science Graduate Research Symposium 2017	2017-11-21	"Iowa City, IA, USA"		
"Data, Decisions, and Machine Learning: Optimizing Outcomes via Inverse Classification"	Invited Talk	uiowainfo-2017-talk	University of Iowa Informatics Day 2017	2017-11-28	"Iowa City, IA, USA"		
Optimizing Patient Outcomes via Inverse Classification	Invited Talk	informs-2018-talk	2018 INFORMS Annual Meeting	2018-11-05	"Phoenix, AZ, USA"		
Early Predictions of Movie Success and Beyond	Talk	cbar-2019-talk	Center for Business Analytics Research Fall 2019 Seminar Series (CBAR)	2019-09-27	"Lawrence, KS, USA"		
Optimizing Movie Profits Via Deep Learning-based Cast Recommendation	Invited Talk	informs-2019-talk	2019 INFORMS Annual Meeting	2019-10-21	"Seattle, WA, USA"		
Team2Vec: Inductive Representation Learning of Teams From Graph	Invited Talk	informs-2020-talk	2020 INFORMS Annual Meeting	2020-11-10	Virtual		
Model-Agnostic Classification Explainability via Deep Reinforcement Learning	Invited Talk	scm-2021	University of Nebraska Supply Chain Management and Analytics Seminar Series Spring 2021	2021-04-30	Virtual		
Model-Agnostic Classification Explainability via Deep Reinforcement Learning	Invited Talk	informs-2021-talk	2021 INFORMS Annual Meeting	2021-10-26	"Virtual and Anaheim, CA, USA"		
Model-Agnostic Classification Explainability via Deep Reinforcement Learning	Talk	cbar-2021-talk	Center for Business Analytics Research Fall 2021 Seminar Series (CBAR)	2021-11-07	"Lawrence, KS, USA"		
Are investor sentiments still predictive during highly volatile markets? Evidences from the COVID-19 Pandemic	Invited Talk	poms-2022	Production and Operations Management Society Conference 2022	2022-04-24	Virtual		
Physician-in-the-loop Classification Explainability via Deep Reinforcement Learning	Invited Talk	informs-2022	2022 INFORMS Annual Meeting	2022-10-17	"Indianapolis, IN, USA"		
"Product Face Ratios, Stereotypes, and Political Orientation: Field Data on Consumer Evaluations"	Invited Talk	acr-2022	2022 Association for Consumer Research Conference	2022-10-22	"Denver, CO, USA"		
